Date,Hour,Date : Hour hours,Cell Name,Downtime,TCH Drop rate,TCH Drops,TCH Congestion,SD Congestion,Traffic,Utilization,SS Drops,Qual Drops,TA Drops,Other Drops
15/06/2019,1,15/06/2019 : 1 hours,39123,0,0.994406338,29,0,0,14.4,24,11,12,3,3
15/06/2019,2,15/06/2019 : 2 hours,10041,0,0.149961284,35,0,0,26.4,44,21,8,1,5
15/06/2019,2,15/06/2019 : 2 hours,12561,0,0.929937502,39,0,0,25.8,43,11,18,9,1
15/06/2019,2,15/06/2019 : 2 hours,26091,0,0.396842464,14,0,0,7.2,12,8,3,1,2
15/06/2019,2,15/06/2019 : 2 hours,31141,0,0.152573536,27,0,0,15.6,26,10,14,3,0
15/06/2019,2,15/06/2019 : 2 hours,34151,0,0.331369182,25,0,0,13.2,22,13,10,0,2
15/06/2019,2,15/06/2019 : 2 hours,31031,0,0.357864645,29,0,0,10.8,18,8,18,2,1
15/06/2019,2,15/06/2019 : 2 hours,26111,0,0.81826439,19,0,0,23.4,39,5,2,7,5
15/06/2019,2,15/06/2019 : 2 hours,32011,0,0.269880553,48,0,0,2.4,4,24,17,2,5
15/06/2019,2,15/06/2019 : 2 hours,11281,0,0.525469748,40,0,0,3,5,19,14,4,3
15/06/2019,2,15/06/2019 : 2 hours,23141,0,0.232010532,34,0,0,13.8,23,24,5,3,2
15/06/2019,2,15/06/2019 : 2 hours,35361,0,0.978763908,10,0,0,9,15,1,6,2,1
15/06/2019,2,15/06/2019 : 2 hours,20061,0,0.377985952,29,0,0,0,0,4,14,8,3
15/06/2019,2,15/06/2019 : 2 hours,37151,0,0.445073853,28,0,0,19.8,33,4,18,1,5
15/06/2019,2,15/06/2019 : 2 hours,31161,0,0.637016621,13,0,0,19.8,33,8,0,4,1
15/06/2019,2,15/06/2019 : 2 hours,21131,0,0.5038047,46,0,0,13.8,23,18,19,7,2
15/06/2019,2,15/06/2019 : 2 hours,28361,0,0.638570155,26,0,0,5.4,9,9,8,5,4
15/06/2019,2,15/06/2019 : 2 hours,23611,0,0.368534437,29,0,0,1.2,2,6,14,9,0
15/06/2019,2,15/06/2019 : 2 hours,32021,0,0.668104685,45,0,0,4.8,8,23,19,0,3
15/06/2019,2,15/06/2019 : 2 hours,39241,0,0.519616041,36,0,0,1.8,3,16,11,9,0
15/06/2019,2,15/06/2019 : 2 hours,18741,0,0.914612001,37,0,0,3,5,18,7,10,2
15/06/2019,2,15/06/2019 : 2 hours,30051,0,0.541624336,51,0,0,13.2,22,24,14,8,5
15/06/2019,2,15/06/2019 : 2 hours,12461,0,0.398790224,25,0,0,15,25,13,8,2,2
15/06/2019,2,15/06/2019 : 2 hours,19561,0,0.22533482,24,0,0,23.4,39,3,12,9,0
15/06/2019,2,15/06/2019 : 2 hours,39121,0,0.612379492,10,0,0,4.8,8,1,6,3,0
15/06/2019,2,15/06/2019 : 2 hours,10042,0,0.5514561,44,0,0,12.6,21,20,17,3,4
15/06/2019,2,15/06/2019 : 2 hours,12562,0,0.459748,10,0,0,2.4,4,0,4,2,4
15/06/2019,2,15/06/2019 : 2 hours,26092,0,0.825506569,55,0,0,9.6,16,25,15,10,5
15/06/2019,2,15/06/2019 : 2 hours,31142,0,0.656567822,46,0,0,2.4,4,25,9,8,4
15/06/2019,2,15/06/2019 : 2 hours,34152,0,0.285166192,47,0,0,27,45,18,18,7,4
15/06/2019,2,15/06/2019 : 2 hours,31032,0,0.883476673,34,0,0,13.8,23,13,15,6,0
15/06/2019,2,15/06/2019 : 2 hours,26112,0,0.170066818,42,0,0,12.6,21,19,18,1,4
15/06/2019,2,15/06/2019 : 2 hours,32012,0,0.671740595,8,0,0,20.4,34,0,3,2,3
15/06/2019,2,15/06/2019 : 2 hours,11282,0,0.551834459,23,0,0,6,10,6,7,7,3
15/06/2019,2,15/06/2019 : 2 hours,23142,0,0.750191169,13,0,0,24,40,3,1,7,2
15/06/2019,2,15/06/2019 : 2 hours,35362,0,0.382784411,14,0,0,0,0,9,2,1,2
15/06/2019,2,15/06/2019 : 2 hours,20062,0,0.934470489,41,0,0,0.6,1,23,7,6,5
15/06/2019,2,15/06/2019 : 2 hours,37152,0,0.717136677,32,0,0,17.4,29,9,17,1,5
15/06/2019,2,15/06/2019 : 2 hours,31162,0,0.121230572,27,0,0,4.2,7,7,16,4,0
15/06/2019,2,15/06/2019 : 2 hours,21132,0,0.356563427,38,0,0,1.8,3,15,20,3,0
15/06/2019,2,15/06/2019 : 2 hours,28362,0,0.459894137,32,0,0,24.6,41,13,12,3,4
15/06/2019,2,15/06/2019 : 2 hours,23612,0,0.384734822,9,0,0,26.4,44,1,3,2,3
15/06/2019,2,15/06/2019 : 2 hours,32022,0,0.267559917,29,0,0,10.8,18,2,15,10,2
15/06/2019,2,15/06/2019 : 2 hours,39242,0,0.121279044,24,0,0,24,40,12,8,0,4
15/06/2019,2,15/06/2019 : 2 hours,18742,0,0.203566222,58,0,0,12,20,24,20,9,5
15/06/2019,2,15/06/2019 : 2 hours,30052,0,0.814293417,35,0,0,0,0,8,15,7,5
15/06/2019,2,15/06/2019 : 2 hours,12462,0,0.735444132,31,0,0,7.8,13,13,11,5,2
15/06/2019,2,15/06/2019 : 2 hours,19562,0,0.485514732,23,0,0,19.8,33,10,1,9,3
15/06/2019,2,15/06/2019 : 2 hours,39122,0,0.013381128,55,0,0,24,40,23,18,9,5
15/06/2019,2,15/06/2019 : 2 hours,10043,0,0.424800158,40,0,0,21.6,36,12,16,9,3
15/06/2019,2,15/06/2019 : 2 hours,12563,0,0.049086694,24,0,0,11.4,19,11,3,5,5
15/06/2019,2,15/06/2019 : 2 hours,26093,0,0.027759605,24,0,0,0.6,1,15,4,4,1
15/06/2019,2,15/06/2019 : 2 hours,31143,0,0.218141557,34,0,0,13.2,22,20,6,3,5
15/06/2019,2,15/06/2019 : 2 hours,34153,0,0.451585516,44,0,0,13.2,22,20,20,4,0
15/06/2019,2,15/06/2019 : 2 hours,31033,0,0.67980586,39,0,0,17.4,29,9,20,7,3
15/06/2019,2,15/06/2019 : 2 hours,26113,0,0.35120493,14,0,0,19.8,33,3,2,4,5
15/06/2019,2,15/06/2019 : 2 hours,32013,0,0.931051958,16,0,0,22.8,38,2,10,2,2
15/06/2019,2,15/06/2019 : 2 hours,11283,0,0.6531134,32,0,0,17.4,29,10,15,3,4
15/06/2019,2,15/06/2019 : 2 hours,23143,0,0.049768786,40,0,0,0.6,1,19,11,7,3
15/06/2019,2,15/06/2019 : 2 hours,35363,0,0.138481079,16,0,0,21,35,6,5,0,5
15/06/2019,2,15/06/2019 : 2 hours,20063,0,0.561478042,54,0,0,15,25,21,20,9,4
15/06/2019,2,15/06/2019 : 2 hours,37153,0,0.499955962,13,0,0,7.2,12,9,0,1,3
15/06/2019,2,15/06/2019 : 2 hours,31163,0,0.03134639,42,0,0,16.2,27,24,10,7,1
15/06/2019,2,15/06/2019 : 2 hours,21133,0,0.871931636,40,0,0,6,10,23,14,2,1
15/06/2019,2,15/06/2019 : 2 hours,28363,0,0.687937234,28,0,0,8.4,14,1,19,6,2
15/06/2019,2,15/06/2019 : 2 hours,23613,0,0.058502862,21,0,0,0,0,18,0,3,0
15/06/2019,2,15/06/2019 : 2 hours,32023,0,0.585830885,20,0,0,24,40,6,7,2,5
15/06/2019,2,15/06/2019 : 2 hours,39243,0,0.589398808,39,0,0,16.8,28,13,15,6,5
15/06/2019,2,15/06/2019 : 2 hours,18743,0,0.094561487,25,0,0,2.4,4,2,17,2,4
15/06/2019,2,15/06/2019 : 2 hours,30053,0,0.455718509,30,0,0,0.6,1,10,11,6,3
15/06/2019,2,15/06/2019 : 2 hours,12463,0,0.570575229,53,0,0,7.8,13,24,17,9,3
15/06/2019,2,15/06/2019 : 2 hours,19563,0,0.5432634,22,0,0,18,30,18,0,3,1
15/06/2019,2,15/06/2019 : 2 hours,39123,0,0.640562413,36,0,0,1.8,3,18,10,3,5
15/06/2019,3,15/06/2019 : 3 hours,10041,0,0.010210908,28,0,0,24,40,0,17,6,5
15/06/2019,3,15/06/2019 : 3 hours,12561,0,0.04369579,33,0,0,6,10,22,0,10,1
15/06/2019,3,15/06/2019 : 3 hours,26091,0,0.006865307,39,0,0,19.2,32,19,9,8,3
15/06/2019,3,15/06/2019 : 3 hours,31141,0,0.374029713,27,0,0,17.4,29,14,4,4,5
15/06/2019,3,15/06/2019 : 3 hours,34151,0,0.259900573,35,0,0,18.6,31,15,15,4,1
15/06/2019,3,15/06/2019 : 3 hours,31031,0,0.923967438,45,0,0,10.8,18,23,17,0,5
15/06/2019,3,15/06/2019 : 3 hours,26111,0,0.21787435,49,0,0,16.2,27,19,20,8,2
15/06/2019,3,15/06/2019 : 3 hours,32011,0,0.801137738,23,0,0,25.2,42,8,5,8,2
15/06/2019,3,15/06/2019 : 3 hours,11281,0,0.763307552,44,0,0,0.6,1,23,12,8,1
15/06/2019,3,15/06/2019 : 3 hours,23141,0,0.404098915,30,0,0,18.6,31,24,4,0,2
15/06/2019,3,15/06/2019 : 3 hours,35361,0,0.158388313,21,0,0,12,20,1,13,3,4
15/06/2019,3,15/06/2019 : 3 hours,20061,0,0.423636871,30,0,0,19.8,33,13,14,1,2
15/06/2019,3,15/06/2019 : 3 hours,37151,0,0.779501571,44,0,0,5.4,9,21,14,8,1
15/06/2019,3,15/06/2019 : 3 hours,31161,0,0.955718784,23,0,0,12,20,11,4,8,0
15/06/2019,3,15/06/2019 : 3 hours,21131,0,0.724427363,24,0,0,9.6,16,5,9,8,2
15/06/2019,3,15/06/2019 : 3 hours,28361,0,0.944511463,34,0,0,18.6,31,24,7,3,0
15/06/2019,3,15/06/2019 : 3 hours,23611,0,0.553935633,46,0,0,7.2,12,16,18,8,4
15/06/2019,3,15/06/2019 : 3 hours,32021,0,0.630066399,23,0,0,21,35,11,7,3,2
15/06/2019,3,15/06/2019 : 3 hours,39241,0,0.967524314,33,0,0,13.2,22,4,18,8,3
15/06/2019,3,15/06/2019 : 3 hours,18741,0,0.029762091,23,0,0,9,15,5,15,0,3
15/06/2019,3,15/06/2019 : 3 hours,30051,0,0.781902384,37,0,0,13.8,23,13,17,4,3
15/06/2019,3,15/06/2019 : 3 hours,12461,0,0.373892986,38,0,0,11.4,19,25,1,7,5
15/06/2019,3,15/06/2019 : 3 hours,19561,0,0.580559446,44,0,0,16.8,28,24,6,10,4
15/06/2019,3,15/06/2019 : 3 hours,39121,0,0.539216028,32,0,0,16.8,28,16,9,2,5
15/06/2019,3,15/06/2019 : 3 hours,10042,0,0.81541889,37,0,0,21.6,36,18,9,5,5
15/06/2019,3,15/06/2019 : 3 hours,12562,0,0.353733564,47,0,0,3,5,20,20,3,4
15/06/2019,3,15/06/2019 : 3 hours,26092,0,0.996588436,16,0,0,12.6,21,0,12,3,1
15/06/2019,3,15/06/2019 : 3 hours,31142,0,0.406781067,20,0,0,23.4,39,5,13,0,2
15/06/2019,3,15/06/2019 : 3 hours,34152,0,0.205233081,23,0,0,23.4,39,18,2,0,3
15/06/2019,3,15/06/2019 : 3 hours,31032,0,0.940994865,40,0,0,18.6,31,12,15,8,5
15/06/2019,3,15/06/2019 : 3 hours,26112,0,0.384499006,30,0,0,15.6,26,8,13,4,5
15/06/2019,3,15/06/2019 : 3 hours,32012,0,0.085924673,29,0,0,10.2,17,4,18,4,3
15/06/2019,3,15/06/2019 : 3 hours,11282,0,0.953234976,42,0,0,23.4,39,20,17,4,1
15/06/2019,3,15/06/2019 : 3 hours,23142,0,0.753280349,50,0,0,4.2,7,25,15,5,5
15/06/2019,3,15/06/2019 : 3 hours,35362,0,0.159511569,24,0,0,23.4,39,12,5,5,2
15/06/2019,3,15/06/2019 : 3 hours,20062,0,0.00197026,8,0,0,16.2,27,3,0,1,4
15/06/2019,3,15/06/2019 : 3 hours,37152,0,0.37412709,27,0,0,0.6,1,2,17,3,5
15/06/2019,3,15/06/2019 : 3 hours,31162,0,0.47488483,20,0,0,22.2,37,2,10,3,5
15/06/2019,3,15/06/2019 : 3 hours,21132,0,0.823626021,35,0,0,10.2,17,15,11,6,3
15/06/2019,3,15/06/2019 : 3 hours,28362,0,0.351656976,47,0,0,0,0,21,13,9,4
15/06/2019,3,15/06/2019 : 3 hours,23612,0,0.433847862,31,0,0,10.2,17,24,6,1,0
